,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,1,0.792458989635191,0.699461356402514,1,9328,2,0.00852454273459,0.5
1,C45 PANE,1,0.906900350934465,0.999897984167143,0.999897984167143,661,10.1664145234493,0,1
2,RXNCN,1,0.792131067665509,0.69961629819112,0.971587794628175,2,1,0.83494731713259,0.5
3,RXREN,0.925895699012487,0.718354688647678,0.641026687341876,0.997163959846568,1,1,0.925895699012487,0.5
4,TREPAN,1,0.782869501346609,0.854525422345548,0.854525422345548,2,1,0,1
