,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.004072831816004,0.000718735026354,0.000479156684236,1,200,1,0,0.25
1,C45 PANE,1,0.868471490177288,0.924772400574988,0.575227599425012,1700,14.5764705882353,0,1
2,RXNCN,0.99964234620887,0.19206008583691,0.229256080114449,1,4,0.75,0.748479971387697,0.083333333333333
3,RXREN,1,0.079779587925252,0.08337326305702,0.972688068998562,10,0.7,0.612050790608529,0.083333333333333
4,TREPAN,1,0.467417345471969,0.429803545759463,0.386679444178246,4,2,0,0.333333333333333
