,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.6988727858293076,0.6956521739130435,0.6960547504025765,0.7024959742351047,326,1.9110429447852761,0.005636070853462158,1.0
1,C45 PANE,1.0,0.9484702093397746,0.9943639291465378,0.9967793880837359,397,9.458438287153653,0.0,1.0
2,RXNCM,0.6733510509784972,0.5731658210517838,0.5730852863010389,0.9851816058629298,2,1.0,0.0893130385761456,1.0
3,RXREN,0.9834943639291466,0.7548309178743962,0.7137681159420289,0.9975845410628019,1,1.0,0.0,0.5
4,TREPAN,1.0,0.9927536231884058,0.9589371980676329,1.0,2,2.0,0.0,0.5
