,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.9858402023994124,0.8958010283195952,0.9858402023994124,0.09273239206724884,53695,1.9999813762920198,0.0,1.0
1,C45 PANE,1.0,0.9019423814576022,0.9957357381865666,1.0,460,9.541304347826086,0.0,1.0
2,RXNCM,0.6736228714135895,0.27377712124118064,0.3282093553744639,0.920365465993626,2,1.0,0.0,1.0
3,RXREN,0.9995103240022851,0.7919693136374766,0.6986656329062271,0.9982657308414266,1,1.0,0.0,0.5
4,TREPAN,1.0,0.782869501346609,0.8538521178486901,1.0,2,2.0,0.0,0.5
