,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
1,C45 PANE,1.0,0.24305060584461868,0.32911617961511047,0.9967925873129009,24769,16.10549477169042,0.0,1.0
2,RXNCM,1.0,0.10953093812375249,0.125249500998004,0.0,11,1.0,0.8403193612774451,0.4444444444444444
3,RXREN,0.9910905203136137,0.14950106913756236,0.22024233784746972,0.5046329294369208,1,1.0,0.0,0.05555555555555555
4,TREPAN,1.0,0.16233071988595865,0.23093371347113328,0.8709907341411262,9,17.77777777777778,0.0,0.2222222222222222
