,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.3454606141522029,0.19359145527369825,0.16989319092122832,0.654539385847797,16173,2.0024732578989672,0.08044058744993324,1.0
1,C45 PANE,1.0,0.5267022696929239,0.8190921228304406,0.9966622162883845,2768,13.880057803468208,0.0,1.0
2,RXNCM,0.9825767690253672,0.45100133511348467,0.4213618157543391,0.9991989319092123,2,1.0,0.0,1.0
3,RXREN,0.9996662216288384,0.5510680907877169,0.33678237650200266,1.0,1,1.0,0.0,0.5
4,TREPAN,1.0,0.6008010680907877,0.6855807743658211,0.9996662216288384,2,9.0,0.0,0.5
