,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.3349305222807858,0.2453282223287015,0.24916147580258743,0.6643507426928605,13483,2.0013350144626565,0.06708193579300431,0.9166666666666666
1,C45 PANE,1.0,0.8322951605174892,0.8991375179683757,0.5876856732151413,10769,17.893862011328814,0.0,1.0
2,RXNCM,1.0,0.18876695260459098,0.2040063257775435,0.8719509273014808,4,1.0,0.9992332390856377,0.3333333333333333
3,RXREN,1.0,0.4108768567321514,0.3603258265452803,0.9808337326305702,1,1.0,0.0,0.08333333333333333
4,TREPAN,1.0,0.45471969333972206,0.4206995687589842,0.9168663152850982,2,9.0,0.0,0.08333333333333333
