,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.010152284263959,0.010152284263959,0.010152284263959,1,8,1,0.001269035532995,0.5
1,C45 PANE,1,0.924630324431693,0.984881924519974,0.980798940631207,1080,12.0694444444444,0,1
2,RXNCN,1,0.110690166364685,0.068687201449514,0,2,1,1,0.5
3,RXREN,1,0.112337232399029,0.069521077024939,0.999889649084087,2,1,1,0.5
4,TREPAN,1,0.927278746413595,0.970094901787685,0.956632090046347,2,1,0,1
