,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.9184357541899442,0.8966480446927374,0.9058659217877095,0.9284916201117318,1382,1.0115774240231548,0.4094972067039106,1.0
1,C45 PANE,1.0,0.9715083798882681,0.9966480446927374,0.9958100558659218,550,9.854545454545455,0.0,1.0
2,RXNCM,0.9889373114314448,0.8975304503296457,0.8921667225388311,0.9970946474466421,1,1.0,0.0,0.5
3,RXREN,1.0,0.9220670391061453,0.9449720670391062,0.9681564245810056,2,1.0,0.14329608938547486,1.0
4,TREPAN,1.0,0.9748603351955307,0.9921787709497206,0.9974860335195531,2,2.0,0.0,0.5
