,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.0015,0.00075,0.00075,0.9985,538,3.0,0.0,0.038461538461538464
1,C45 PANE,1.0,0.69025,0.7975,0.99175,13826,15.169824967452625,0.0,1.0
2,RXNCM,0.99905,0.07665,0.0828,0.7563,5,1.0,0.7133,0.19230769230769232
3,RXREN,1.0,0.0395,0.04275,0.99675,1,1.0,0.0,0.038461538461538464
4,TREPAN,1.0,0.1295,0.148,1.0,4,13.0,0.0,0.038461538461538464
