,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.350357879412835,0.015740628411986,0.030814024020381,1,33511,1,6.1940872980328E-06,0.363636363636364
1,C45 PANE,1,0.425118282178818,0.747755671478831,0.374681547980104,91662,18.8818812594096,0,1
2,RXNCN,1,0.196550631478883,0.100040740573084,0.500792177809968,4,1,1,0.090909090909091
3,RXREN,0.9999696712362,0.198410772776902,0.099508674026447,0.999484411015407,7,0.571428571428571,0.569626176322767,0.181818181818182
4,TREPAN,1,0.410863763193012,0.305562295280844,0.243115370617494,9,3.33333333333333,0,0.272727272727273
