,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,1,0.095470692717584,0.022646536412078,1,3,3,0.799215512137359,0.333333333333333
1,C45 PANE,1,0.673401420959147,0.778567199526347,0.427323860272351,7130,18.8273492286115,0,1
2,RXNCN,1,0.664089252181597,0.760852755992489,0.506682867557716,2,1,1,0.333333333333333
3,RXREN,1,0.246225577264654,0.222690941385435,0.872927767910006,7,0.428571428571429,0.428571428571429,0.333333333333333
4,TREPAN,1,0.658599763173475,0.756512729425696,0.693975725281232,9,4,0,1
