,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,1.0,0.8467153284671532,0.8536090835360909,0.14963503649635038,9623,1.9483529044996364,0.9781021897810219,1.0
1,C45 PANE,1.0,0.9266017842660178,0.9772911597729116,0.9963503649635036,1346,11.825408618127787,0.0,1.0
2,RXNCM,0.9986212489862125,0.813544201135442,0.7829683698296837,0.3176804541768045,2,1.0,0.9397404703974047,1.0
3,RXREN,1.0,0.8454987834549879,0.7996755879967559,0.49878345498783455,2,1.0,1.0,0.5
4,TREPAN,1.0,0.9257907542579076,0.9586374695863747,0.9586374695863747,9,18.0,0.0,3.0
