,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.991620111731844,0.906703910614525,0.91536312849162,1,4019,1,0.000489087449142,1
1,C45 PANE,1,0.975977653631285,0.998603351955307,0.997486033519553,192,8.21354166666667,0,1
2,RXNCN,1,0.914512093411176,0.918682235195997,1,2,0.5,0.5,0.5
3,RXREN,0.135474860335196,0.077374301675978,0.083798882681564,0.96731843575419,1,1,0.135474860335196,0.5
4,TREPAN,1,0.974581005586592,0.993854748603352,0.993575418994413,2,1,0,1
