,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.000333778371162,0.000333778371162,0.000333778371162,1,20,1,3.33778371161549E-05,0.5
1,C45 PANE,1,0.558411214953271,0.846461949265688,0.997329773030708,1858,13.1689989235737,0,1
2,RXNCN,1,0.452914798206278,0.637269556552068,1,3,0.666666666666667,0.666666666666667,0.5
3,RXREN,0.996995994659546,0.448598130841121,0.640520694259012,1,2,0.5,0.498497997329773,0.5
4,TREPAN,1,0.564419225634179,0.79305740987984,0.793391188251001,2,1,0,1
