,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0,0,0,0,0,0,0,0
1,C45 PANE,1,0.176229508196721,0.273877405559515,0.463292943692088,17624,16.4580118020881,0,1
2,RXNCN,1,0.149734042553192,0.223670212765957,0.494946808510638,3,1,1,0.055555555555556
3,RXREN,1,0.06111903064861,0.053991446899501,0.877583749109052,31,0.290322580645161,0.262001931345274,0.055555555555556
4,TREPAN,1,0.162330719885959,0.230933713471133,0.227013542409123,9,4,0,0.222222222222222
