,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,1,0.483490099222912,0.460151631197129,1,103387,2,0.001736465218756,0.285714285714286
1,C45 PANE,1,0.644776812991059,0.770419008115109,0.676893023415919,150834,20.8636050227402,0,1
2,RXNCN,1,0.488170468557337,0.464549938347719,0.498201808466913,2,1,1,0.142857142857143
3,RXREN,1,0.035300293451976,0.052158722236087,0.87435780487595,18,0.333333333333333,0.281640271287699,0.142857142857143
4,TREPAN,1,0.438654767949192,0.448043510064284,0.412837878540141,9,3.77777777777778,0,0.714285714285714
