,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.083333333333333,0.060666666666667,0.006333333333333,1,1214,1,6.87808896210873E-05,0.5
1,C45 PANE,1,0.325333333333333,0.899166666666667,0.999,3377,14.1590168788866,0,1
2,RXNCN,0.999751243781094,0.21865671641791,0.85273631840796,0.874626865671642,2,1,0.998383084577114,1
3,RXREN,1,0.221833333333333,0.851,0.9925,3,0.666666666666667,0.6665,1
4,TREPAN,1,0.221333333333333,0.8505,0.851,5,2.6,0,0.5
