,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.047445255474453,0.008515815085158,0.012165450121655,1,217,1,0.000199954402921,0.5
1,C45 PANE,1,0.945255474452555,0.993511759935118,0.996755879967559,137,7.77372262773723,0,1
2,RXNCN,1,0.148305084745763,0.197941888619855,0.504237288135593,2,1,1,0.5
3,RXREN,0.998377939983779,0.944038929440389,0.989862124898621,0.860502838605028,4,0.5,0.301601784266018,1
4,TREPAN,1,0.944038929440389,0.996350364963504,0.995944849959448,2,1,0,1
