,method,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,REFNE,0.9441666666666667,0.7016666666666667,0.8186666666666667,0.756,8467,1.6090705090350774,0.7245,1.0
1,C45 PANE,1.0,0.748,0.9416666666666667,0.9996666666666667,2885,14.638821490467938,0.0,1.0
2,RXNCM,0.9994333333333333,0.7783,0.9249666666666667,0.9915666666666667,1,1.0,0.0,0.5
3,RXREN,1.0,0.7786666666666666,0.925,0.9923333333333333,1,1.0,0.0,0.5
4,TREPAN,1.0,0.7786666666666666,0.925,1.0,3,12.333333333333334,0.0,1.0
