,dataset,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,credit_card_default,1.0,0.22116666666666668,0.839,0.8395,11,3.909090909090909,0,0.5
1,eeg_eye_states,1.0,0.5510680907877169,0.897196261682243,0.8981975967957276,11,3.5454545454545454,0,0.5
