,dataset,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,credit_card_default,1.0,0.22116666666666668,0.839,0.8395,11,3.909090909090909,0,0.5
1,eeg_eye_states,1.0,0.5510680907877169,0.897196261682243,0.8981975967957276,11,3.5454545454545454,0,0.5
2,htru,1.0,0.9083798882681564,0.9159217877094972,0.914804469273743,10,3.6,0,0.5
3,letter_recognition,1.0,0.03775,0.03725,0.0365,11,5.545454545454546,0,0.23076923076923078
4,occupancy,1.0,0.7564412238325282,0.7069243156199678,0.7069243156199678,6,2.6666666666666665,0,0.5
5,online_shoppers_intention,1.0,0.8450932684509327,0.8138686131386861,0.7935928629359287,11,4.636363636363637,0,0.5
6,person_activity,1.0,0.18206356908892393,0.09486837316510979,0.07964333373771686,11,3.727272727272727,0,0.2727272727272727
7,shuttle,1.0,0.12422413793103448,0.1304310344827586,0.13094827586206897,11,3.909090909090909,0,0.2857142857142857
