,dataset,complete,correctness,fidelity,robustness,rule_n,avg_length,overlap,class_fraction
0,adult,1.0,0.7522114108801415,0.6943830163644406,0.6675143741707209,11,5.909090909090909,0,0.5
1,avila,1.0,0.4188832973879703,0.3398034986820034,0.32326863167984665,11,4.363636363636363,0,0.25
2,bank,1.0,0.24975168303719236,0.22933451053967555,0.23562520693080233,11,5.363636363636363,0,1.0
3,chess,1.0,0.12814115130992693,0.08911067545891997,0.09089288896809838,11,4.454545454545454,0,0.1111111111111111
